Variable,Bloque,Método,Año,Observado,Predicho,Error,Error_absoluto,Error_cuadrado,Prediccion_negativa
Bagazo de caña,2011–2014,missForest_con_Año,2012,927.6029601359252,899.0653984405154,-28.53756169540975,28.53756169540975,814.3924275193177,FALSE
Bagazo de caña,2011–2014,missForest_con_Año,2013,870.2331730685305,899.9923581598428,29.759185091312247,29.759185091312247,885.6090972989812,FALSE
Bagazo de caña,2011–2014,missForest_con_Año,2014,909.3132487740744,897.523116894805,-11.790131879269438,11.790131879269438,139.0072097305655,FALSE
Bagazo de caña,2012–2015,Lineal_original,2012,927.6029601359252,864.0944962188896,-63.508463917035556,63.508463917035556,4033.324989101407,FALSE
Bagazo de caña,2012–2015,Lineal_original,2013,870.2331730685305,857.649740703524,-12.583432365006502,12.583432365006502,158.34277008469311,FALSE
Bagazo de caña,2012–2015,Lineal_original,2014,909.3132487740744,851.2049851881602,-58.10826358591419,58.10826358591419,3376.5702969700806,FALSE
Bagazo de caña,2012–2015,Lineal_original,2015,772.2741489713304,844.7602296727946,72.48608070146418,72.48608070146418,5254.231895459177,FALSE
Bagazo de caña,2012–2015,Lineal_log,2012,927.6029601359252,864.0114498006839,-63.59151033524131,63.59151033524131,4043.8801867171023,FALSE
Bagazo de caña,2012–2015,Lineal_log,2013,870.2331730685305,857.8953266018954,-12.337846466635142,12.337846466635142,152.22245543426126,FALSE
Bagazo de caña,2012–2015,Lineal_log,2014,909.3132487740744,851.8224478745992,-57.490800899475175,57.490800899475175,3305.1921880630957,FALSE
Bagazo de caña,2012–2015,Lineal_log,2015,772.2741489713304,845.7925078557761,73.51835888444566,73.51835888444566,5404.9490930621505,FALSE
Bagazo de caña,2012–2015,Media_ultimos_3,2012,927.6029601359252,868.0612540011538,-59.5417061347714,59.5417061347714,3545.2147694394744,FALSE
Bagazo de caña,2012–2015,Media_ultimos_3,2013,870.2331730685305,868.0612540011538,-2.1719190673767343,2.1719190673767343,4.7172324352346235,FALSE
Bagazo de caña,2012–2015,Media_ultimos_3,2014,909.3132487740744,868.0612540011538,-41.251994772920625,41.251994772920625,1701.7270727450705,FALSE
